User ID,Gender,Age,EstimatedSalary,Purchased
100329,Female,58,72545,0
100330,Male,56,54224,1
100331,Male,18,112945,1
100332,Female,20,28224,0
100333,Male,30,55738,0
100334,Female,45,78731,1
100335,Female,42,23070,0
100336,Male,50,141161,0
100337,Male,55,23666,0
100338,Female,23,72761,0
100339,Female,49,51368,0
100340,Male,38,56914,1
100341,Female,33,142738,1
100342,Male,38,82526,1
100343,Female,28,34956,0
100344,Male,54,61240,0
100345,Male,53,136008,1
100346,Male,52,109270,0
100347,Female,36,19757,0
100348,Female,37,34097,0
100349,Male,35,118892,1
100350,Female,58,85480,1
100351,Male,31,61163,1
100352,Male,32,34816,1
100353,Female,48,67853,1
100354,Female,18,111731,1
100355,Male,20,77823,1
100356,Female,33,16759,0
100357,Female,40,107374,1
100358,Male,28,148554,0
100359,Male,29,39442,1
100360,Female,27,108501,0
100361,Male,49,17079,0
100362,Male,33,148789,1
100363,Female,25,74676,1
100364,Male,55,105397,1
100365,Male,29,87847,1
100366,Female,41,108607,1
100367,Female,45,79077,1
100368,Male,25,53258,0
100369,Male,45,134771,1
100370,Female,53,53000,1
100371,Female,43,41737,0
100372,Female,25,26485,1
100373,Female,45,53565,1
100374,Male,45,134614,1
100375,Female,54,80155,0
100376,Female,58,67487,1
100377,Male,53,144948,1
100378,Female,44,27342,0
100379,Male,34,55806,1
100380,Female,26,63770,0
100381,Female,50,93623,1
100382,Female,37,118177,1
100383,Male,30,146026,0
100384,Male,45,90629,0
100385,Female,46,135993,0
100386,Male,30,141944,1
100387,Male,52,120947,1
100388,Male,23,41399,1
100389,Male,35,143177,1
100390,Male,22,124575,1
100391,Male,42,125904,1
100392,Female,19,45678,0
100393,Female,27,91218,1
100394,Male,47,78230,1
100395,Female,22,89055,0
100396,Female,50,87258,0
100397,Female,18,54986,1
100398,Female,35,100595,1
100399,Male,49,116358,0
